,S.1.9,Burnets hist. of his own tim. V.1.2,,Burnets Hist. of his own tim. V 1.2
,BB.3.33,Walkers Philoy.,,Walkers Philosy.
,BB.2.20,Hearnes journey --,,Hearne's journey
,B.5.12,Goldsmiths anim. nat. v.5.6.7.8.,,Goldsmiths anim. nat. V.5
,BB.7 -,Robertsons Hist. of Amer. V.1.2.,,Robertsons Hist. of Amer.
,D.4.8.,Xenoph. De Cyri Inst.,,Xenoph. de Cyri Inst.
,M.6.2.,Mod. Univ. Hist. V.27,,Mod. Univ. Hist. v.27
,,Biogr. Anecd. of Bowy.,,Biogr. anecd. of Bowy.
,,Laings Hist. of Scotl. V.2.,,Laings Hist. of Scotl. V.2nd
,,Colquhouns Pol. of Lond.,,Colquhouns pol. of Lond.
,B.3.3.,Fougasse Hist. of Ven.,,Fougasse Hist. of Ven.
,,Dam. Lexic Graec. V.1.2.,,Dam. Lexic. Graec. V.1.2.
,7.5.15,Hoogeveen de doctr. Part. V.1.2.,,Hoogeveen de doct. part. V.1.2.
,EE.7.57,Spallanzanis travs. V.1 - 2.3.4,,Spallanzanis travs. V.1.2.3.4.
,O.5.6.,Addisons Works. V.1.,,Addisons Works. V.1.
,L.5.22,Valckenaers Ammonius,,Valckenaers Ammon.
,C.4.7.,Robertsons Hist. of Scotl. V.1.2.,,Robertsons Hist. of Scotl. V.1.2.
,M.3.17,Oeuvres de Tourr. V.1.2.,,Oeuvres de Tourr. V.1.2.
,M.9.45,Hurd Hor. V.1.2.,,Hurds Hor. V.1.2.
,B.3.18.,Twinings Poet. of Arist.,,Twinings Poet. of Arist.
,C.6.13.,Poetiq. par Batteux. V.1.,,Poet. par Batteux. V.1.
,D.5.29,Lelands Dem. V.1.3.,,Lelands Dem. V.1.3.
,E.6.14,Diction. par Bomare V. 3 -,,Dict. par Bomare V.3.
,L.5.15,Demosth. Orat.,,Demosth. Orat.
,D.6.6,Orat. Vet. Gr. a Reiske. V.10th,,Orat. Vet. Gr. a Reiske V. 10th
,N.6.12.,Demosth. a Taylor. V.2.,,Demosth. a Taylor. V.2.
,Q.1-5.,Thucyd. Hist.,,Thucyd. Hist.
,Q.3.11.,Smiths Thuc. V.1.,,Smiths Thucyd. V. 1.
,Q.1.4,Plat. opera,,Plat. opa.
,L.8.24.,Theocritus a Reiske V.1-2.,,Theocr. a Reiske V.1.2.
,L.6.7.,Theocritus Heinsii -,,Theocr. Heins.
,K.2.20.,Thucyd. Hist -,,Thucyd. Hist.
