,M.3.19,Millars dist. of ranks in Socy.,,Millars dist. of ranks in Socy.
,M.9.45.,Hurds Hor. V.1.,,Hurds Hor. V.1.
,N.2.10,Antiq. par Montfauc. V.8,,Antiq. par Montf. V. 8
,G.2.11.,Gibbon Rom: Empire Vol. 2,,Gibbons Rom Empire Vol 2nd
,B.6.2,Lardners works vols. 1.7.8.9.,,Lardners Works 1.7.8.9th Vol.
,JJ5.48,Plays one Vol ----,,Plays one Vol
,,Young Philosopher 4 Vols,,Young Philosopher 4 Vol ----
,O.7.10,Shakesp. Works V.1.,,Shakespeares Works V.1.
,CC8.35,Pownalls Antiq.,,Pownalls Antiq.
,C.6.8.,Homeri Il. V.1,,Homeri Il. V.1
,A.4.3,Theat.de P.Corn. V.1.,,Theat. de P. Corn. v.1
,D.8.14,Hist. de Ven. V.8.,,Hist. de Ven. V.8
,Q.1.4.,Platonis Opa. Fic.,,Platonis Opa. Fic.
,,Corio Stor. di Mil.,,Corio Stor. di Mil.
,D.7.1.,Mem. de lAcad. V.16.23.23,,Mem. de l'Acad. V.16.23.23
,BB.6.23.,Johnsons liv. of the Poets. 4. Vs,,Johnsons liv. of the pts. 4. Vol.
,R7.23.,Johnsons Tour -,,Johnsons Tour ----
,C.2.13,Boswells Tour,,Boswells Tour.
,E.4.25.,Pennants Tour V.2.,,Pennants Tour V.2.
,,Statist. Acct. of Scotl. V.16.17.,,Statist. Acct. of Scotl. V.16.17
,77.8.68.,Tookes View of the Russ. Emp. 1.2.3,,Tooke's View of the Russ. Emp. 1.2.3.
,FF.4.20,Somervilles Hist. of Q. Anne,,Somerville's Hist. of Q. Anne
,EE.4.2,Rennels Geogry. of Herod.,,Rennels Geogr. of Herod.
,EE.4.3.,Works of Sir W. Jones V.6th,,Works of Sir W. Jones. V.6th
,BB.7.3.,Humes Hist. of Engl. V.4.5.6.,,Hume's Hist. of Engl. V.4.5.6.
,CC.4.29,Chevaliers descr. of Pl. of Tr.,,Cheval. descr. of Pl. of Tr.
,BB.4.5.,Life of Warburton,,Life of Warburton.
,D.,Oeuvres de la Font. V.3.,,Oeuvres de la Font. V.3.
,CC.3.11,Cowpers Hom. V.2.,,Cowpers Hom. V.2
,CC3.12,Boswells life of Johns. V. 1st. 2nd.,,Boswells life of Johns. V.1.2.
,CC.8.35,Pownall on Antiq. ---,,Pownall on Antiq.
