,,Princl. Watson Bo(rrowed),,59
,[All entries crossed out],,,
,O5 21,Sulleys memoirs 1 2 3d V,,
,M5 2,Modern hist Vol 21st,,
,---,The old Catalogue,,
,J5 8,Hist d Espagn Vol 4th,,
,J5 10,Guerre d Flandre Vol 4th,,
,I5 11,Hist of the Prince of orange 1 2d,,
,I3 12,Hist des provin Unies V 6th,,
,I3 14,Clarks letters on Spain,,
,I3 11,LHist de Flandre,,
,O1 4,Hist des provin Unies T 1st,,
,J1 7,Bentivoglio opera,,
,M5 2,Modern hist Vol 30th,,
,O6 21,Conquest des Portugal 1 2d T,,
,O5 23,Hist Dallemangne Tom 9th,,
,T5 2,Daniels hist. of France V 4th,,
,,,,
